Zip,Latitude,Longitude,Density
70165,30.032997,-89.882564,0
70166,30.032997,-89.882564,0
70167,30.032997,-89.882564,0
70170,30.032997,-89.882564,0
70172,30.032997,-89.882564,0
70174,30.032997,-89.882564,0
70175,30.032997,-89.882564,0
70176,30.032997,-89.882564,0
70177,30.032997,-89.882564,0
70178,30.032997,-89.882564,0
70179,30.032997,-89.882564,0
70181,29.677893,-90.0901,0
70182,30.067646,-89.815993,0
70183,29.677893,-90.0901,0
70184,30.032997,-89.882564,0
70185,30.032997,-89.882564,0
70186,30.032997,-89.882564,0
70187,30.032997,-89.882564,0
70189,30.032997,-89.882564,0
70190,30.032997,-89.882564,0
70195,30.032997,-89.882564,0
70199,29.987528,-90.079501,0
70836,30.388292,-91.08631,0
70837,30.51589,-91.080373,0
70848,30.433083,-91.102808,0
70874,30.590238,-91.2054,0
70879,30.51589,-91.080373,0
70883,30.51589,-91.080373,0
70884,30.51589,-91.080373,0
70892,30.51589,-91.080373,0
70893,30.412991,-91.171456,0
70894,30.51589,-91.080373,0
70895,30.51589,-91.080373,0
70896,30.51589,-91.080373,0
70898,30.51589,-91.080373,0
70952,30.117148,-91.990319,0
72149,35.247376,-91.73139,0
73019,35.208566,-97.44451,0
75270,32.78133,-96.80198,0
75275,32.767268,-96.777626,0
75277,32.767268,-96.777626,0
75283,32.767268,-96.777626,0
75284,32.767268,-96.777626,0
75285,32.767268,-96.777626,0
75286,32.767268,-96.777626,0
75390,32.767268,-96.777626,0
75391,32.767268,-96.777626,0
75392,32.767268,-96.777626,0
75393,32.767268,-96.777626,0
75394,32.767268,-96.777626,0
75395,32.767268,-96.777626,0
75396,32.767268,-96.777626,0
75397,32.767268,-96.777626,0
75398,32.767268,-96.777626,0
76508,31.036287,-97.492017,0
77201,29.83399,-95.434241,0
77202,29.83399,-95.434241,0
77203,29.83399,-95.434241,0
77204,29.83399,-95.434241,0
77205,29.83399,-95.434241,0
77206,29.83399,-95.434241,0
77207,29.83399,-95.434241,0
77208,29.83399,-95.434241,0
77209,29.612816,-95.158517,0
77210,29.83399,-95.434241,0
77212,29.83399,-95.434241,0
77213,29.83399,-95.434241,0
77215,29.83399,-95.434241,0
77216,29.83399,-95.434241,0
77217,29.83399,-95.434241,0
77218,29.83399,-95.434241,0
77219,29.83399,-95.434241,0
77220,29.83399,-95.434241,0
77221,29.83399,-95.434241,0
77222,29.83399,-95.434241,0
77223,29.83399,-95.434241,0
77224,29.83399,-95.434241,0
77225,29.83399,-95.434241,0
77226,29.83399,-95.434241,0
77227,29.83399,-95.434241,0
77228,29.83399,-95.434241,0
77229,29.83399,-95.434241,0
77230,29.83399,-95.434241,0
77231,29.83399,-95.434241,0
77233,29.83399,-95.434241,0
77234,29.83399,-95.434241,0
77235,29.83399,-95.434241,0
77236,29.83399,-95.434241,0
77237,29.83399,-95.434241,0
77238,29.83399,-95.434241,0
77240,29.83399,-95.434241,0
77241,29.83399,-95.434241,0
77242,29.83399,-95.434241,0
77243,29.83399,-95.434241,0
77244,29.83399,-95.434241,0
77245,29.83399,-95.434241,0
77248,29.83399,-95.434241,0
77249,29.83399,-95.434241,0
77251,29.83399,-95.434241,0
77252,29.83399,-95.434241,0
77253,29.83399,-95.434241,0
77254,29.83399,-95.434241,0
77255,29.83399,-95.434241,0
77256,29.83399,-95.434241,0
77257,29.83399,-95.434241,0
77258,29.83399,-95.434241,0
77259,29.83399,-95.434241,0
77261,29.83399,-95.434241,0
77262,29.83399,-95.434241,0
77263,29.83399,-95.434241,0
77265,29.83399,-95.434241,0
77266,29.83399,-95.434241,0
77267,29.83399,-95.434241,0
77268,29.83399,-95.434241,0
77269,29.83399,-95.434241,0
77270,29.83399,-95.434241,0
77271,29.83399,-95.434241,0
77272,29.83399,-95.434241,0
77273,29.83399,-95.434241,0
77274,29.83399,-95.434241,0
77275,29.83399,-95.434241,0
77277,29.83399,-95.434241,0
77279,29.83399,-95.434241,0
77280,29.83399,-95.434241,0
77281,29.83399,-95.434241,0
77282,29.83399,-95.434241,0
77284,29.83399,-95.434241,0
77287,29.83399,-95.434241,0
77288,29.83399,-95.434241,0
77289,29.83399,-95.434241,0
77290,29.83399,-95.434241,0
77291,29.83399,-95.434241,0
77292,29.744341,-95.332598,0
77293,29.83399,-95.434241,0
77297,29.83399,-95.434241,0
77298,29.83399,-95.434241,0
77299,29.83399,-95.434241,0
77507,29.624686,-95.06111,0
77508,29.569927,-95.106637,0
78029,30.033226,-99.140974,0
80264,39.742486,-104.98563,0
80265,39.738752,-104.408349,0
80266,39.747179,-104.991511,0
